VALUE,STAT_TYPE
0,DB_BACKGROUND_ERRORS
0,DB_NUM_SNAPSHOTS
0,DB_OLDEST_SNAPSHOT_TIME
816799200,DB_BLOCK_CACHE_USAGE

