NUM_ROWS,SST_NAME,DATA_SIZE,ENTRY_MERGES,ENTRY_OTHERS,INDEX_NUMBER,COLUMN_FAMILY,ENTRY_DELETES,ENTRY_SINGLEDELETES,DISTINCT_KEYS_PREFIX
44,000053.sst,16357,0,0,324,0,0,0,40
94,000053.sst,1880,0,0,325,0,0,0,"80,90"
17,000053.sst,1615,0,0,326,0,0,0,10
17,000053.sst,301,0,0,327,0,0,0,"30,30"
17,000053.sst,1242,0,0,328,0,0,0,"0,0"
14,000053.sst,1428,0,0,335,0,0,0,0
14,000053.sst,280,0,0,336,0,0,0,"50,50"
14,000053.sst,280,0,0,337,0,0,0,"10,10"
14,000053.sst,294,0,0,338,0,0,0,"20,20"
14,000053.sst,238,0,0,339,0,0,0,"0,0"
14,000053.sst,1260,0,0,340,0,0,0,20
14,000053.sst,238,0,0,341,0,0,0,"30,30"
14,000053.sst,280,0,0,342,0,0,0,"10,10"
14,000053.sst,546,0,0,343,0,0,0,"10,20"
191,000053.sst,12976,0,0,347,0,0,0,"140,150,150,150"
191,000053.sst,11451,0,0,348,0,0,0,"20,160,240,240,240"
2,000053.sst,190,0,0,349,0,0,0,0
2,000053.sst,393,0,0,350,0,0,0,"10,10"
879,000053.sst,69450,0,0,351,0,0,0,830
879,000053.sst,12306,0,0,352,0,0,0,"10,870"
879,000053.sst,12306,0,0,353,0,0,0,"10,860"
879,000053.sst,31842,0,0,354,0,0,0,"20,760"
879,000053.sst,11571,0,0,355,0,0,0,"40,800"
879,000053.sst,12306,0,0,356,0,0,0,"20,820"
879,000053.sst,28128,0,0,357,0,0,0,"690,690,850"
2,000053.sst,74,0,0,361,0,0,0,0
2,000053.sst,78,0,0,362,0,0,0,"0,0"
8,000053.sst,7405,0,0,366,0,0,0,20
261,000053.sst,11838,0,0,380,0,0,0,350
261,000053.sst,5220,0,0,381,0,0,0,"170,250"
261,000053.sst,11223,0,0,382,0,0,0,"80,230"
29,000053.sst,2116,0,0,383,0,0,0,30
29,000053.sst,580,0,0,384,0,0,0,"10,10"
21695,000053.sst,48405550,0,0,390,0,0,0,22280
21695,000053.sst,11368180,0,0,391,0,0,0,"21610,21610"
2,000053.sst,414,0,0,406,0,0,0,10
1,000053.sst,56,0,0,407,0,0,0,0
1,000053.sst,20,0,0,408,0,0,0,"0,0"
1,000053.sst,74,0,0,409,0,0,0,0
1,000053.sst,43,0,0,410,0,0,0,"0,0"
1,000053.sst,26,0,0,411,0,0,0,"0,0"
2,000012.sst,28,0,0,3,1,0,0,<blank>
2,000023.sst,28,0,0,3,1,0,0,<blank>

