ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH,AUTO_INCREMENT,AVG_ROW_LENGTH
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,REFERENTIAL_CONSTRAINTS,def,<blank>,max_rows=27874,134189235,utf8mb3_general_ci,0,NULL,4815
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,ROUTINES,def,<blank>,max_rows=53908 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,SCHEMATA,def,<blank>,max_rows=20228,134113255,utf8mb3_general_ci,0,NULL,6635
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,SCHEMA_PRIVILEGES,def,<blank>,max_rows=43408,134041292,utf8mb3_general_ci,0,NULL,3092
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,SESSION_STATUS,def,<blank>,max_rows=10751,134165548,utf8mb3_general_ci,0,NULL,12484
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,SESSION_VARIABLES,def,<blank>,max_rows=10751,134165548,utf8mb3_general_ci,0,NULL,12484
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,STATISTICS,def,<blank>,max_rows=23301,134029440,utf8mb3_general_ci,0,NULL,5760
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,SQL_FUNCTIONS,def,<blank>,max_rows=688296,130862160,utf8mb3_general_ci,0,NULL,195
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,SYSTEM_VARIABLES,def,<blank>,max_rows=50472 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,TABLES,def,<blank>,max_rows=8990,134151994,utf8mb3_general_ci,0,NULL,14929
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,TABLESPACES,def,<blank>,max_rows=19306,134062368,utf8mb3_general_ci,0,NULL,6952
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,TABLE_CONSTRAINTS,def,<blank>,max_rows=53601,133788720,utf8mb3_general_ci,0,NULL,2504
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,TABLE_PRIVILEGES,def,<blank>,max_rows=40857,134093700,utf8mb3_general_ci,0,NULL,3285
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,TRIGGERS,def,<blank>,max_rows=52679 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,USER_PRIVILEGES,def,<blank>,max_rows=46297,133985982,utf8mb3_general_ci,0,NULL,2899
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,VIEWS,def,<blank>,max_rows=464421 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,CLIENT_STATISTICS,def,<blank>,max_rows=347714,132163312,utf8mb3_general_ci,0,NULL,386
